N_updates,N_timesteps,FPS,Reward_mean,Reward_median,Reward_min,Reward_max,Entropy,Value_loss,Action_loss,N_episodes,N_blocked_actions,N_goal_reached
250,40160,434,0.0,0.0,0.0,0.0,1.3819396372127812e-05,12.951780319213867,-1.1463168902992038e-06,0.0,0.0,0.0
260,41760,434,0.0,0.0,0.0,0.0,1.3839734492648859e-05,12.858978271484375,-1.1244334245930077e-06,0.0,0.0,0.0
270,43360,434,0.0,0.0,0.0,0.0,1.386345047649229e-05,12.768426895141602,-1.1028508879462606e-06,0.0,0.0,0.0
280,44960,435,0.0,0.0,0.0,0.0,1.389051067235414e-05,12.680086135864258,-1.0815432460731245e-06,0.0,0.0,0.0
290,46560,435,0.0,0.0,0.0,0.0,1.3920837773184758e-05,12.593857765197754,-1.0604736644381774e-06,0.0,0.0,0.0
300,48160,436,0.0,0.0,0.0,0.0,1.3954412679595407e-05,12.509742736816406,-1.0396174729976337e-06,0.0,0.0,0.0
310,49760,437,0.0,0.0,0.0,0.0,1.3991249943501316e-05,12.427679061889648,-1.0189513659497607e-06,0.0,0.0,0.0
320,51360,437,0.0,0.0,0.0,0.0,1.4031325008545537e-05,12.347611427307129,-9.984474900193163e-07,0.0,0.0,0.0
330,52960,437,0.0,0.0,0.0,0.0,1.4074647879169788e-05,12.269530296325684,-9.780901564226951e-07,0.0,0.0,0.0
340,54560,437,0.0,0.0,0.0,0.0,1.412124402122572e-05,12.193429946899414,-9.57852876126708e-07,0.0,0.0,0.0
350,56160,437,0.0,0.0,0.0,0.0,1.4171155271469615e-05,12.119232177734375,-9.37722518301598e-07,0.0,0.0,0.0
360,57760,436,0.0,0.0,0.0,0.0,1.4224413462216035e-05,12.046955108642578,-9.176746402772551e-07,0.0,0.0,0.0
370,59360,437,0.0,0.0,0.0,0.0,1.4281074982136488e-05,11.976567268371582,-8.976981007435825e-07,0.0,0.0,0.0
380,60960,437,0.0,0.0,0.0,0.0,1.4341198948386591e-05,11.908050537109375,-8.777711286711565e-07,0.0,0.0,0.0
390,62560,437,0.0,0.0,0.0,0.0,1.4404835383174941e-05,11.841370582580566,-8.578705887885008e-07,0.0,0.0,0.0
400,64160,437,0.0,0.0,0.0,0.0,1.4472091606876347e-05,11.776556015014648,-8.379915925615933e-07,0.0,0.0,0.0
410,65760,437,0.0,0.0,0.0,0.0,1.4543050383508671e-05,11.713601112365723,-8.18119474388368e-07,0.0,0.0,0.0
420,67360,437,0.0,0.0,0.0,0.0,1.461779265810037e-05,11.652396202087402,-7.982274610185414e-07,0.0,0.0,0.0
430,68960,437,0.0,0.0,0.0,0.0,1.4696458492835518e-05,11.593057632446289,-7.783060596011637e-07,0.0,0.0,0.0
440,70560,437,0.0,0.0,0.0,0.0,1.4779146113141906e-05,11.535538673400879,-7.583408887512633e-07,0.0,0.0,0.0
450,72160,437,0.0,0.0,0.0,0.0,1.4865986486256588e-05,11.479748725891113,-7.383063120869338e-07,0.0,0.0,0.0
